"","sample","gene","evidence_n","beta_n","evidence","beta","focal_log2","all_log2","all_log2_right","all_log2_left","informative_snps","snps","tc","ploidy","cnA","cnB","cnA.int","cnB.int","gene_type","log2_cutoff_pass","chr","all_log2.corr","cn.call.corr","non_syn_snv","snv_in_su2c"
"1","Capture_1_1","AKT1",0,1,0,1,0.171,0.055,0.053,0.038,149,148,0.91,2.04,1.06624235556314,1.06624235556314,1,1,"target",FALSE,"14",0.055,"wt",0,0
"2","Capture_1_1","APC",0,1,0,1,-0.06,-0.055,0.013,-0.108,60,61,0.91,2.04,0.980216723076921,0.980205152614377,1,1,"target",FALSE,"5",-0.055,"wt",0,0
"3","Capture_1_1","AR",NA,NA,NA,NA,NA,3.425,NA,NA,NA,NA,0.91,2.04,NA,NA,NA,NA,"target",TRUE,"X",3.57772981915987,"Bal.Gain",10,0
"4","Capture_1_1","ARID1A",0,1,0,1,0.108,0.107,0.016,-0.091,23,22,0.91,2.04,1.10863694895916,1.10800154902053,1,1,"target",FALSE,"1",0.107,"wt",0,0
"5","Capture_1_1","ASXL1",0,1,0,1,0.081,0.047,0.033,0.03,156,153,0.91,2.04,1.05962434207032,1.05962434207032,1,1,"target",FALSE,"20",0.047,"wt",0,0
"6","Capture_1_1","ATG14",0,NA,0,NA,0.071,-0.001,-0.066,0.03,4,NA,0.91,2.04,NA,NA,NA,NA,"control",FALSE,"14",-0.001,"wt",0,0
"7","Capture_1_1","ATM",0,1,0,1,-0.064,-0.055,-0.054,-0.016,238,234,0.91,2.04,0.980274709205895,0.980274709205895,1,1,"target",FALSE,"11",-0.055,"wt",0,0
"8","Capture_1_1","ATR",0,1,0,1,-0.019,-0.051,-0.095,-0.048,144,142,0.91,2.04,0.983131231176581,0.983131231176581,1,1,"target",FALSE,"3",-0.051,"wt",0,0
"9","Capture_1_1","ATXN7",0,1,0,1,0.021,-0.062,-0.081,-0.107,101,99,0.91,2.04,0.975065905002726,0.975065905002726,1,1,"control",FALSE,"3",-0.062,"wt",0,0
"10","Capture_1_1","AURKA",0,1,0,1,-0.005,-0.093,-0.022,-0.128,110,101,0.91,2.04,0.952333044382885,0.952333044382885,1,1,"target",FALSE,"20",-0.093,"wt",0,0
"11","Capture_1_1","BRAF",0,1,0,1,0.056,0.018,0.024,-0.015,138,137,0.91,2.04,1.03625021462538,1.03625021462538,1,1,"target",FALSE,"7",0.018,"wt",0,0
"12","Capture_1_1","BRCA1",0,NA,0,NA,-0.137,-0.01,-0.027,-0.01,3,NA,0.91,2.04,NA,NA,NA,NA,"target",FALSE,"17",-0.01,"wt",3,0
"13","Capture_1_1","BRCA2",0,1,0,1,-0.124,-0.071,-0.045,-0.082,212,211,0.91,2.04,0.968149593551564,0.968149593551564,1,1,"target",FALSE,"13",-0.071,"wt",0,0
"14","Capture_1_1","BRIP1",0,0.997,0,0.988,-0.105,-0.135,-0.326,-0.256,10,10,0.91,2.04,0.934908528135987,0.910083288601992,1,1,"target",TRUE,"17",-0.117396538988932,"NoImb_WTGrayZoneCN",0,0
"15","Capture_1_1","C9orf47",0,1,1,0.524,0.852,0.728,0.935,0.739,182,183,0.91,2.04,2.64214607949069,0.87414038541806,3,1,"control",TRUE,"9",0.813653813326537,"Unb.Gain",0,0
"16","Capture_1_1","CCND1",0,1,0,1,0.166,-0.004,-0.018,-0.001,75,72,0.91,2.04,1.01911149437555,1.01865605054793,1,1,"target",FALSE,"11",-0.004,"wt",0,0
"17","Capture_1_1","CDK12",0,NA,0,NA,0.013,0.018,0.031,0.012,10,NA,0.91,2.04,NA,NA,NA,NA,"target",FALSE,"17",0.018,"wt",0,0
"18","Capture_1_1","CDK4",0,1,0,1,0.296,-0.052,-0.037,-0.059,83,84,0.91,2.04,0.982897631916337,0.982897631916337,1,1,"target",FALSE,"12",-0.052,"wt",0,0
"19","Capture_1_1","CDK6",0,1,0,1,-0.092,-0.126,-0.168,-0.147,50,50,0.91,2.04,0.928570340965703,0.928515544998106,1,1,"target",FALSE,"7",-0.126,"wt",0,0
"20","Capture_1_1","CDKN1B",0,1,0,1,-0.038,0.021,0.013,0.057,121,115,0.91,2.04,1.0390485879276,1.0390485879276,1,1,"target",FALSE,"12",0.021,"wt",0,0
"21","Capture_1_1","CDKN2A",0,1,0,1,0.018,-0.037,-0.051,-0.037,143,137,0.91,2.04,0.993827812368504,0.993827812368504,1,1,"target",FALSE,"9",-0.037,"wt",0,0
"22","Capture_1_1","CHD1",0,1,0,1,-0.047,-0.138,-0.142,-0.194,106,105,0.91,2.04,0.920021500666052,0.920021500666052,1,1,"target",FALSE,"5",-0.138,"wt",0,0
"23","Capture_1_1","CHEK2",0,NA,0,NA,-0.747,-0.824,-0.84,-0.773,0,NA,0.91,2.04,NA,NA,NA,NA,"target",TRUE,"22",-0.90440247013224,"Uncertain HomoDel",0,0
"24","Capture_1_1","CST7",0,1,0,1,0.032,-0.03,0.074,-0.085,155,153,0.91,2.04,0.999103013260588,0.999103013260588,1,1,"control",FALSE,"20",-0.03,"wt",0,0
"25","Capture_1_1","CTNNB1",0,1,0,1,0.017,-0.084,-0.092,-0.112,85,85,0.91,2.04,0.958863160040317,0.958863160040317,1,1,"target",TRUE,"3",-0.0610305520753721,"NoImb_WTGrayZoneCN",0,0
"26","Capture_1_1","CYLD",0,1,1,0.699,0.468,0.429,0.381,0.48,57,55,0.91,2.04,1.86551448911234,0.955990581615116,2,1,"target",TRUE,"16",0.495836907292881,"Imb_WTGrayZoneCN",0,0
"27","Capture_1_1","DRD1",0,1,0,1,-0.043,-0.065,-0.065,-0.094,66,65,0.91,2.04,0.972893646093136,0.972893646093136,1,1,"control",FALSE,"5",-0.065,"wt",0,0
"28","Capture_1_1","ENPEP",0,1,0,1,-0.119,-0.112,-0.096,-0.112,60,54,0.91,2.04,0.938374949046894,0.93834019681248,1,1,"control",FALSE,"4",-0.112,"wt",0,0
"29","Capture_1_1","ERCC2",0,1,0,1,0.201,0.096,0.055,0.109,72,70,0.91,2.04,1.09969814691253,1.09929297049946,1,1,"target",FALSE,"19",0.096,"wt",0,0
"30","Capture_1_1","ERCC3",0,1,1,0.215,-0.843,-0.867,-0.86,-0.88,0,57,0.91,2.04,0.997973419592387,0.0334809094128846,1,0,"target",TRUE,"2",-0.955505157260107,"HemiDel",3,0
"31","Capture_1_1","ERG_TMPRSS2",0,1,0,1,-0.024,-0.024,NA,NA,358,340,0.91,2.04,1.00366451901765,1.00366451901765,1,1,"target",FALSE,"21",-0.024,"wt",0,0
"32","Capture_1_1","FAM183B",0,1,0,1,0.289,-0.109,-0.108,-0.108,65,64,0.91,2.04,0.940640788413032,0.940640788413032,1,1,"control",FALSE,"7",-0.109,"wt",0,0
"33","Capture_1_1","FANCA",0,1,1,0.181,-0.721,-0.724,-0.737,-0.721,6,116,0.91,2.04,1.13539523672184,0.0240842492779292,1,0,"target",TRUE,"16",-0.786627426770064,"HemiDel",0,0
"34","Capture_1_1","FANCC",0,1,1,0.53,0.913,0.93,0.978,0.872,65,63,0.91,2.04,3.04212509113672,1.03320214289867,3,1,"target",TRUE,"9",1.02622143828094,"Unb.Gain",0,0
"35","Capture_1_1","FANCD2",0,0.998,0,0.999,-0.03,0.011,0.032,-0.019,28,22,0.91,2.04,1.03150190838824,1.03031478914122,1,1,"target",FALSE,"3",0.011,"wt",0,0
"36","Capture_1_1","FANCG",0,0.999,0,1,0.21,-0.021,-0.008,-0.066,28,28,0.91,2.04,1.00584435473808,1.00576025418283,1,1,"target",FALSE,"9",-0.021,"wt",1,0
"37","Capture_1_1","FBXW7",0,1,1,0.679,0.503,0.495,0.537,0.479,150,149,0.91,2.04,1.98770312056471,0.974056628604412,2,1,"target",TRUE,"4",0.566354499325,"Unb.Gain",1,0
"38","Capture_1_1","FCER1A",0,1,0,1,-0.344,-0.133,-0.138,-0.126,56,57,0.91,2.04,0.923877189714925,0.923877189714925,1,1,"control",TRUE,"1",-0.115182132598526,"NoImb_WTGrayZoneCN",0,0
"39","Capture_1_1","FOXA1",0,1,0,1,0.036,-0.05,-0.053,0,141,139,0.91,2.04,0.983825392438726,0.983825392438726,1,1,"target",FALSE,"14",-0.05,"wt",0,0
"40","Capture_1_1","FOXP1",0,1,0,1,0.046,0.044,0.217,-0.146,137,136,0.91,2.04,1.05664240029515,1.05664240029515,1,1,"target",FALSE,"3",0.044,"wt",0,0
